title,doi,url,authors,keywords
Données archéométriques de l’agrafe TRIB167 (tribunes),doi:10.57745/ESMHQX,https://doi.org/10.57745/ESMHQX,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE_hc_1 (murs gouttereaux),doi:10.57745/IGEDNM,https://doi.org/10.57745/IGEDNM,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS28 (murs gouttereaux),doi:10.57745/YFXU3S,https://doi.org/10.57745/YFXU3S,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS33 (murs gouttereaux),doi:10.57745/JHOJ5Q,https://doi.org/10.57745/JHOJ5Q,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN09 (murs gouttereaux),doi:10.57745/YANXXK,https://doi.org/10.57745/YANXXK,BERNARD Mathilde; L'HERITIER Maxime; GUILLOT Ivan,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS07 (murs gouttereaux),doi:10.57745/IML6HR,https://doi.org/10.57745/IML6HR,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS186 (murs gouttereaux),doi:10.57745/B5NFXE,https://doi.org/10.57745/B5NFXE,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe VN4 (murs gouttereaux),doi:10.57745/TWC1VZ,https://doi.org/10.57745/TWC1VZ,BERNARD Mathilde; L'HERITIER Maxime; GUILLOT Ivan,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSW16 (murs gouttereaux),doi:10.57745/9F15AZ,https://doi.org/10.57745/9F15AZ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN40-42c (murs gouttereaux),doi:10.57745/SF45AL,https://doi.org/10.57745/SF45AL,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
