title,doi,url,keywords
Données archéométriques de l’agrafe CHS33 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/JHOJ5Q,https://doi.org/10.57745/JHOJ5Q,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN09 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/YANXXK,https://doi.org/10.57745/YANXXK,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS07 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/IML6HR,https://doi.org/10.57745/IML6HR,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS186 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/B5NFXE,https://doi.org/10.57745/B5NFXE,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe VN4 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/TWC1VZ,https://doi.org/10.57745/TWC1VZ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSW16 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/9F15AZ,https://doi.org/10.57745/9F15AZ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN40-42c (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/SF45AL,https://doi.org/10.57745/SF45AL,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN51 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/M25YTB,https://doi.org/10.57745/M25YTB,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN02 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/ALRA4J,https://doi.org/10.57745/ALRA4J,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFS01 (extérieur de la tour sud) de Notre-Dame de Paris,doi:10.57745/0GCDR1,https://doi.org/10.57745/0GCDR1,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFN409 (intérieurs des tours) de Notre-Dame de Paris,doi:10.57745/OHJOFQ,https://doi.org/10.57745/OHJOFQ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFS02 (extérieur de la tour sud) de Notre-Dame de Paris,doi:10.57745/8WMEPL,https://doi.org/10.57745/8WMEPL,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données interprétées pour l’étude des alliages ferreux de Notre-Dame de Paris,doi:10.57745/HCXHYL,https://doi.org/10.57745/HCXHYL,Paris (France) -- Cathédrale Notre-Dame; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE27 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/A2POKZ,https://doi.org/10.57745/A2POKZ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSEinf10a (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/4PW6HS,https://doi.org/10.57745/4PW6HS,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB106 (tribunes) de Notre-Dame de Paris,doi:10.57745/VWEHVF,https://doi.org/10.57745/VWEHVF,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
